"Country, Housing Type",Amenity,Average Price Per Person Per Night,Ratio of properties in Country + HousingType that have amenity
"[Spain,Townhouse]",Pool,23,0.4224599
"[Spain,Townhouse]",Free parking on premises,19,0.5240642
"[Spain,Townhouse]",Iron,20,0.78074867
"[Spain,Townhouse]",Family/kid friendly,20,0.8663102
"[Spain,Townhouse]",Heating,21,0.6363636
"[Spain,Townhouse]",TV,21,0.86096257
"[Spain,Townhouse]",Air conditioning,21,0.6791444
"[Spain,Townhouse]",Hair dryer,21,0.77005345
"[Spain,Townhouse]",Kitchen,21,0.96791446
"[Spain,Townhouse]",Essentials,21,0.9144385
"[Spain,Townhouse]",Washer,21,0.9411765
"[Spain,Townhouse]",Wireless Internet,21,0.8983957
"[Spain,Townhouse]",Internet,20,0.4224599
"[Spain,Townhouse]",Laptop friendly workspace,21,0.48128343
"[Spain,Townhouse]",Hangers,21,0.8128342
"[Australia,Guesthouse]",Lock on bedroom door,55,0.627907
"[Australia,Guesthouse]",Iron,58,0.60465115
"[Australia,Guesthouse]",Kitchen,52,0.78294575
"[Australia,Guesthouse]",Laptop friendly workspace,52,0.64341086
"[Australia,Guesthouse]",Heating,59,0.62015504
"[Australia,Guesthouse]",TV,55,0.88372093
"[Australia,Guesthouse]",Hangers,54,0.90697676
"[Australia,Guesthouse]",Wireless Internet,53,0.82945734
"[Australia,Guesthouse]",Smoke detector,53,0.79844964
"[Australia,Guesthouse]",Essentials,55,0.8604651
"[Australia,Guesthouse]",Hair dryer,56,0.6976744
"[Australia,Guesthouse]",Family/kid friendly,48,0.5736434
"[Australia,Guesthouse]",Washer,49,0.58914727
"[Australia,Guesthouse]",Shampoo,55,0.64341086
"[United Kingdom,Bungalow]",Heating,26,0.9558824
"[Belgium,Townhouse]",Hangers,25,0.6641791
"[Belgium,Townhouse]",Hair dryer,27,0.5895522
"[Belgium,Townhouse]",Iron,25,0.5074627
"[Belgium,Townhouse]",Washer,24,0.52238804
"[Belgium,Townhouse]",Essentials,26,0.8880597
"[Belgium,Townhouse]",Smoke detector,25,0.69402987
"[Belgium,Townhouse]",Family/kid friendly,26,0.52238804
"[Belgium,Townhouse]",Kitchen,24,0.80597013
"[Belgium,Townhouse]",TV,29,0.5
"[Belgium,Townhouse]",Wireless Internet,25,0.98507464
"[Belgium,Townhouse]",Heating,26,0.9701493
"[Belgium,Townhouse]",Laptop friendly workspace,25,0.5970149
"[Belgium,Townhouse]",Shampoo,29,0.6044776
"[Austria,Condominium]",Heating,21,0.96039605
"[Austria,Condominium]",Washer,21,0.84653467
"[Austria,Condominium]",Shampoo,24,0.52970296
"[Austria,Condominium]",Elevator in building,22,0.5792079
"[Austria,Condominium]",Wireless Internet,21,0.96039605
"[Austria,Condominium]",Essentials,22,0.8712871
"[Austria,Condominium]",TV,24,0.5990099
"[Austria,Condominium]",Internet,21,0.57425743
"[Austria,Condominium]",Hangers,23,0.7029703
"[Austria,Condominium]",Buzzer/wireless intercom,20,0.5049505
"[Austria,Condominium]",Laptop friendly workspace,22,0.6881188
"[Austria,Condominium]",Hair dryer,23,0.7227723
"[Austria,Condominium]",Family/kid friendly,21,0.5841584
"[Austria,Condominium]",Iron,23,0.6386139
"[Austria,Condominium]",Kitchen,21,0.9752475
"[France,Loft]",Smoke detector,36,0.58428806
"[France,Loft]",Hangers,37,0.60229135
"[France,Loft]",Washer,39,0.84942716
"[France,Loft]",Hair dryer,37,0.59738135
"[France,Loft]",Cable TV,41,0.42716858
"[France,Loft]",Dryer,43,0.4680851
"[France,Loft]",Iron,37,0.61865795
"[France,Loft]",Heating,38,0.9656301
"[France,Loft]",Laptop friendly workspace,38,0.5646481
"[France,Loft]",TV,40,0.64484453
"[France,Loft]",Kitchen,38,0.9787234
"[France,Loft]",Wireless Internet,38,0.9607201
"[France,Loft]",Essentials,38,0.88707036
"[France,Loft]",Shampoo,38,0.5826514
"[France,Loft]",Internet,38,0.7315876
"[France,Loft]",Family/kid friendly,35,0.6661211
"[Canada,House]",Iron,36,0.49587142
"[Canada,House]",Internet,37,0.61176646
"[Canada,House]",Air conditioning,37,0.47670305
"[Canada,House]",Carbon monoxide detector,37,0.60793275
"[Canada,House]",Heating,36,0.95576525
"[Canada,House]",Hair dryer,36,0.49483928
"[Canada,House]",Free parking on premises,36,0.5356827
"[Canada,House]",Laptop friendly workspace,36,0.5252138
"[Canada,House]",Shampoo,35,0.6517252
"[Canada,House]",Family/kid friendly,36,0.50176936
"[Canada,House]",Wireless Internet,36,0.97316426
"[Canada,House]",Washer,36,0.8121498
"[Canada,House]",Smoke detector,37,0.7668829
"[Canada,House]",TV,38,0.58728987
"[Canada,House]",Dryer,36,0.78162783
"[Canada,House]",Kitchen,36,0.9072545
"[Canada,House]",Hangers,35,0.626069
"[Canada,House]",Fire extinguisher,37,0.49616632
"[Canada,House]",Essentials,35,0.85844886
"[Spain,Guesthouse]",Hangers,22,0.88349515
"[Spain,Guesthouse]",Family/kid friendly,22,0.6407767
"[Spain,Guesthouse]",Wireless Internet,22,0.99029124
"[Spain,Guesthouse]",Heating,23,0.815534
"[Spain,Guesthouse]",Essentials,22,0.94174755
