"Country, Housing Type",Essential Amenities ( > 40% of listings) 
"[United States,Villa]","[Kitchen, Laptop friendly workspace, Family/kid friendly, Air conditioning, Iron, Washer, Essentials, Smoke detector, Shampoo, Cable TV, Hangers, Wireless Internet, Free parking on premises, TV, Carbon monoxide detector, Dryer, Heating, Internet, Hair dryer]"
"[United States,Townhouse]","[Washer, Air conditioning, Shampoo, Laptop friendly workspace, Hair dryer, Essentials, Smoke detector, TV, Fire extinguisher, Hangers, Wireless Internet, Iron, Dryer, Carbon monoxide detector, Kitchen, Heating, Internet, Family/kid friendly, Free parking on premises]"
"[United States,Timeshare]","[Heating, Carbon monoxide detector, TV, Hangers, Shampoo, Laptop friendly workspace, Wireless Internet, Internet, Safety card, Elevator in building, Fire extinguisher, Essentials, Hair dryer, Washer, Dryer, Iron, Gym, Cable TV, Air conditioning, Kitchen, 24-hour check-in, Smoke detector, Family/kid friendly]"
"[United States,Other]","[Essentials, Fire extinguisher, Iron, Smoke detector, Air conditioning, Laptop friendly workspace, Carbon monoxide detector, Kitchen, Internet, Wireless Internet, Hair dryer, Hangers, TV, Shampoo, Heating, Dryer, Washer]"
"[United States,Loft]","[Washer, Heating, TV, Fire extinguisher, Laptop friendly workspace, Carbon monoxide detector, Essentials, Hair dryer, Smoke detector, Iron, Air conditioning, Shampoo, Internet, Hangers, Dryer, Kitchen, Wireless Internet]"
"[United States,House]","[Internet, Hangers, TV, Laptop friendly workspace, Essentials, Iron, Kitchen, Washer, Free parking on premises, Fire extinguisher, Shampoo, Wireless Internet, Family/kid friendly, Hair dryer, Heating, Dryer, Air conditioning, Smoke detector, Carbon monoxide detector]"
"[United States,Hostel]","[Carbon monoxide detector, Washer, First aid kit, Heating, translation missing: en.hosting_amenity_50, Shampoo, Lock on bedroom door, Wireless Internet, Iron, Hangers, Essentials, Laptop friendly workspace, Air conditioning, Dryer, Smoke detector, translation missing: en.hosting_amenity_49, Kitchen, TV, Fire extinguisher, Hair dryer]"
"[United States,Guesthouse]","[Free parking on premises, Internet, Shampoo, TV, First aid kit, Carbon monoxide detector, translation missing: en.hosting_amenity_50, Laptop friendly workspace, Hangers, Kitchen, Wireless Internet, Lock on bedroom door, Heating, Hair dryer, Essentials, Family/kid friendly, Dryer, Iron, Fire extinguisher, Smoke detector, Washer, Air conditioning]"
"[United States,Guest suite]","[Essentials, Air conditioning, Wireless Internet, Smoke detector, Heating]"
"[United States,Dorm]","[translation missing: en.hosting_amenity_50, Kitchen, Heating, Wireless Internet, Fire extinguisher, Essentials, Washer, TV, Iron, Smoke detector, translation missing: en.hosting_amenity_49, Internet, Dryer]"
"[United States,Condominium]","[Heating, Essentials, Kitchen, TV, Smoke detector, Wireless Internet, Fire extinguisher, Iron, Family/kid friendly, Washer, Air conditioning, Dryer, Laptop friendly workspace, Carbon monoxide detector, Hair dryer, Shampoo, Internet, Cable TV, Hangers]"
"[United States,Camper/RV]","[Kitchen, Fire extinguisher, Wireless Internet, Air conditioning, Hangers, TV, Free parking on premises, Family/kid friendly, Shampoo, Heating, Essentials, Smoke detector]"
"[United States,Cabin]","[Heating, Smoke detector, Hangers, Essentials, Shampoo, Wireless Internet, Kitchen, Washer, Free parking on premises, Pets live on this property, Internet, TV]"
"[United States,Bungalow]","[Iron, Washer, Dryer, Wireless Internet, Essentials, Kitchen, Hangers, Family/kid friendly, Shampoo, Heating, Internet, Laptop friendly workspace, Carbon monoxide detector, Free parking on premises, Smoke detector, Fire extinguisher, Air conditioning, TV, Hair dryer]"
"[United States,Boutique hotel]","[Hair dryer, Laptop friendly workspace, Hangers, Family/kid friendly, Smoke detector, Lock on bedroom door, First aid kit, Essentials, Iron, TV, Elevator in building, Heating, translation missing: en.hosting_amenity_50, Fire extinguisher, Air conditioning, Shampoo, Wireless Internet, Carbon monoxide detector]"
"[United States,Boat]","[Wireless Internet, TV, Kitchen, Heating, Essentials]"
