Country,24-hourcheck-in,airconditioning,breakfast,buzzer/wirelessintercom,cabletv,carbonmonoxidedetector,doorman,dryer,elevatorinbuilding,essentialamenities(>40%oflistings),essentials,family/kidfriendly,fireextinguisher,firstaidkit,freeparkingonpremises,gym,hairdryer,hangers,heating,indoorfireplace,internet,iron,kitchen,laptopfriendlyworkspace,lockonbedroomdoor,petsallowed,petsliveonthisproperty,pool,safetycard,shampoo,smokedetector,translationmissing:en.hosting_amenity_49,translationmissing:en.hosting_amenity_50,tv,washer,wirelessinternet
CountryHousingType,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
UnitedStatesVilla,no,yes,no,no,yes,yes,no,yes,no,no,yes,yes,no,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,yes,yes,yes
UnitedStatesTownhouse,no,yes,no,no,no,yes,no,yes,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,yes,yes,yes
UnitedStatesTimeshare,yes,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,yes,yes,yes
UnitedStatesOther,no,yes,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,yes,yes,yes
UnitedStatesLoft,no,yes,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,yes,yes,yes
UnitedStatesHouse,no,yes,no,no,no,yes,no,yes,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,yes,yes,yes
UnitedStatesHostel,no,yes,no,no,no,yes,no,yes,no,no,yes,no,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes
UnitedStatesGuesthouse,no,yes,no,no,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,yes,yes,yes,yes
UnitedStatesGuestsuite,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes
UnitedStatesDorm,no,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes
UnitedStatesCondominium,no,yes,no,no,yes,yes,no,yes,no,no,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,yes,yes,yes
