United States,"[Air conditioning, Carbon monoxide detector, Dryer, Essentials, Family/kid friendly, Hair dryer, Hangers, Heating, Internet, Iron, Kitchen, Laptop friendly workspace, Shampoo, Smoke detector, TV, Washer, Wireless Internet]"
United Kingdom,"[Carbon monoxide detector, Dryer, Essentials, Family/kid friendly, Hair dryer, Hangers, Heating, Internet, Iron, Kitchen, Laptop friendly workspace, Shampoo, Smoke detector, TV, Washer, Wireless Internet]"
Switzerland,"[Elevator in Building, Essentials, Family/Kid Friendly, Hair Dryer, Hangers, Heating, Internet, Iron, Kitchen, Laptop Friendly Workspace, Shampoo, TV, Washer, Wireless Internet]"
Spain,"[Air conditioning, Elevator in building, Essentials, Family/kid friendly, Hair dryer, Hangers, Heating, Internet, Iron, Kitchen, Laptop friendly workspace, Shampoo, TV, Washer, Wireless Internet]"
Netherlands,"[Cable TV, Dryer, Essentials, Family/kid friendly, Hair dryer, Hangers, Heating, Internet, Iron, Kitchen, Laptop friendly workspace, Shampoo, Smoke detector, TV, Washer, Wireless Internet]"
Italy,"[Air conditioning, Elevator in building, Essentials, Family/kid friendly, First aid kit, Hair dryer, Hangers, Heating, Internet, Iron, Kitchen, Laptop friendly workspace, Shampoo, TV, Washer, Wireless Internet]"
Ireland,"[Carbon monoxide detector, Dryer, Essentials, Family/kid friendly, Fire extinguisher, Free parking on premises, Hair dryer, Hangers, Heating, Internet, Iron, Kitchen, Laptop friendly workspace, Shampoo, Smoke detector, TV, Washer, Wireless Internet]"
Hong Kong,"[Air Conditioning, Elevator in Building, Essentials, Family/Kid Friendly, Hair Dryer, Hangers, Internet, Kitchen, Shampoo, TV, Washer, Wireless Internet]"
Greece,"[Air conditioning, Elevator in building, Essentials, Family/kid friendly, First aid kit, Hair dryer, Hangers, Heating, Internet, Iron, Kitchen, Laptop friendly workspace, Shampoo, TV, Washer, Wireless Internet]"
Germany,"[Buzzer/wireless intercom, Essentials, Family/kid friendly, Hair dryer, Hangers, Heating, Internet, Iron, Kitchen, Laptop friendly workspace, Shampoo, TV, Washer, Wireless Internet]"
France,"[Elevator in building, Essentials, Family/kid friendly, Hair dryer, Hangers, Heating, Internet, Iron, Kitchen, Laptop friendly workspace, Shampoo, Smoke detector, TV, Washer, Wireless Internet]"
Denmark,"[Buzzer/wireless intercom, Essentials, Family/kid friendly, Hair dryer, Hangers, Heating, Internet, Iron, Kitchen, Laptop friendly workspace, Shampoo, Smoke detector, TV, Washer, Wireless Internet]"
China,"[Air Conditioning, Elevator in Building, Essentials, Family/Kid Friendly, Hair Dryer, Hangers, Internet, Kitchen, Laptop Friendly Workspace, Shampoo, TV, Washer, Wireless Internet]"
Canada,"[Carbon monoxide detector, Dryer, Essentials, Hangers, Heating, Internet, Iron, Kitchen, Laptop friendly workspace, Shampoo, Smoke detector, TV, Washer, Wireless Internet]"
Belgium,"[Essentials, Family/kid friendly, Hair dryer, Hangers, Heating, Internet, Iron, Kitchen, Laptop friendly workspace, Shampoo, Smoke detector, TV, Washer, Wireless Internet]"
Austria,"[Buzzer/wireless intercom, Elevator in building, Essentials, Family/kid friendly, Hair dryer, Hangers, Heating, Internet, Iron, Kitchen, Laptop friendly workspace, Shampoo, TV, Washer, Wireless Internet]"
Australia,"[Air conditioning, Dryer, Essentials, Family/kid friendly, Free parking on premises, Hair dryer, Hangers, Heating, Internet, Iron, Kitchen, Laptop friendly workspace, Shampoo, Smoke detector, TV, Washer, Wireless Internet]"
